id,tipo,área (ambiente),area_m2,qtd_imovel (padrão 2Q+1B),acabamento (popular / médio / luxo / comercial),descrição da reforma (sem ampliação)
1,Apto,Banheiro,4,1Q+1B,Popular,"Reforma básica de banheiro: demolição de revestimentos antigos, impermeabilização do piso e box, contrapiso novo, revestimento cerâmico padrão, rejunte, louças/metais econômicos e pintura de teto"
2,Apto,Banheiro,5,2Q+1B,Médio,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED"
3,Apto,Banheiro,6,2Q+2B,Luxo,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica"
4,Apto,Banheiro social,4,2Q+1B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes"
5,Apto,Lavabo,2,2Q+1B,Luxo,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica"
6,Apto,Quarto,12,2Q+1B,Popular,"Reforma de quarto: pintura completa (parede e teto), troca de piso por vinílico clicado sobre existente, rodapé novo, tomadas e interruptores novos e ajuste de porta/guarnição"
7,Apto,Quarto,14,2Q+1B,Médio,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada"
8,Apto,Suíte,16,3Q+2B,Luxo,"Suíte integrada: piso de madeira ou porcelanato madeirado, painel ripado para cabeceira, closet aberto com iluminação LED, automação de persianas e iluminação cênica com dimmers"
9,Apto,Quarto infantil,10,2Q+1B,Médio,"Quarto temático: pintura com cores específicas, piso vinílico colorido, iluminação lúdica, tomadas em altura segura, proteção de quinas e móveis planejados integrados"
10,Apto,Cozinha,8,1Q+1B,Popular,"Cozinha funcional: pintura lavável, troca de revestimento da faixa molhada (1,50m), bancada granito cinza, cuba inox, torneira básica e revisão de pontos elétricos para eletros"
11,Apto,Cozinha,10,2Q+1B,Médio,"Cozinha completa mantendo layout: demolição de revestimentos, novo piso/parede, bancada quartzo, cuba dupla, torneira gourmet com filtro, marcenaria sob medida e iluminação de bancada"
12,Apto,Cozinha,14,3Q+2B,Luxo,"Cozinha gourmet: porcelanato retificado, bancada ilha em quartzo, cooktop e coifa, marcenaria premium com ferragens Blum, iluminação em perfis LED e tomadas retráteis"
13,Apto,Cozinha americana,18,2Q+1B,Médio,"Integração cozinha-sala: demolição de meia-parede (se não estrutural), bancada de passagem, revestimento único nos dois ambientes, iluminação integrada e marcenaria de transição"
14,Apto,Sala,18,1Q+1B,Popular,"Sala renovada: pintura completa, troca de piso por vinílico, rodapé, luminárias novas e organização de pontos elétricos para TV/internet"
15,Apto,Sala,22,2Q+1B,Médio,"Sala de estar: piso laminado ou porcelanato, forro de gesso com iluminação embutida, painel de TV com passa-cabos, tomadas estratégicas e pintura com parede de destaque"
16,Apto,Sala,30,3Q+2B,Luxo,"Living premium: porcelanato grande formato, sanca em gesso com iluminação indireta, painel ripado para TV com automação, cortineiro motorizado e infraestrutura para home theater"
17,Apto,Sala + cozinha integradas,32,2Q+1B,Médio,"Open concept: demolição de divisória, unificação de pisos, bancada americana, marcenaria integrada, iluminação setorizada e pintura uniforme para ampliar visualmente"
18,Apto,Lavanderia,5,2Q+1B,Popular,"Lavanderia compacta: revestimento lavável, bancada simples com tanque, armário aéreo, varal retrátil, tomada para máquina e revisão de pontos hidráulicos"
19,Apto,Lavanderia,7,2Q+2B,Médio,"Área de serviço funcional: armários planejados, bancada ampla, tanque embutido, iluminação adequada, tomadas dedicadas (lava-seca) e ventilação/exaustão"
20,Apto,Varanda,6,2Q+1B,Médio,"Varanda living: fechamento com cortina de vidro (se permitido), piso porcelanato externo, iluminação pendente, tomadas para churrasqueira elétrica e bancada de apoio"
21,Apto,Varanda gourmet,10,3Q+2B,Luxo,"Espaço gourmet: churrasqueira a gás ou elétrica, bancada em granito, cuba, armários, revestimento diferenciado, iluminação cênica e teto rebaixado com gesso"
22,Apto,Home office,9,2Q+1B,Médio,"Escritório em casa: bancada longa, iluminação de tarefa, tomadas múltiplas, cabeamento organizado, tratamento acústico leve e pintura neutra focada em produtividade"
23,Apto,Geral,45,2Q+1B,Popular,"Reforma rápida apartamento: pintura geral (paredes e tetos), troca de luminárias por LED, revisão de tomadas/interruptores, rejuntes novos e pequenos reparos"
24,Apto,Geral,55,2Q+1B,Médio,"Reforma pré-entrega: pintura completa, troca de pisos áreas sociais, revisão elétrica, silicones/rejuntes novos, louças sanitárias e pequenos reparos de acabamento"
25,Apto,Geral,70,3Q+2B,Luxo,"Reforma completa alto padrão: demolição e reconstrução de acabamentos, novo projeto de iluminação, marcenaria integrada, automação básica (iluminação e persianas) e materiais premium"
26,Apto,Elétrica geral,60,2Q+1B,Médio,"Adequação elétrica: troca de quadro, disjuntores novos, DR e DPS, identificação de circuitos, novos pontos de tomada/iluminação e aterramento conforme norma"
27,Apto,Hidráulica geral,55,2Q+1B,Médio,"Revisão hidráulica: troca de registros gerais e de pressão, flexíveis novos, sifões, válvulas de descarga e testes de estanqueidade sem quebra de paredes"
28,Casa,Banheiro,5,2Q+1B,Popular,"Banheiro simples: demolição, impermeabilização básica, cerâmica padrão, louças/metais econômicos, box acrílico e pintura de teto"
29,Casa,Banheiro,6,3Q+2B,Médio,"Banheiro completo casa: demolição, impermeabilização com manta, porcelanato, nicho em alvenaria, metais de qualidade, box de vidro 8mm e exaustor"
30,Casa,Banheiro suíte,8,4Q+3B,Luxo,"Suíte master spa: banheira de imersão (se layout permitir), ducha com cromoterapia, bancada dupla, espelho de parede inteira, iluminação cênica e aquecimento de piso"
31,Casa,Lavabo,3,3Q+2B,Luxo,"Lavabo social: bancada diferenciada, cuba artesanal, torneira de design, revestimento 3D ou papel de parede especial, espelho decorativo e iluminação pontual"
32,Casa,Quarto,14,2Q+1B,Popular,"Quarto casa: pintura, piso laminado econômico, rodapé, luminárias novas e revisão de tomadas"
33,Casa,Quarto,16,3Q+2B,Médio,"Quarto completo: piso vinílico premium, pintura especial, iluminação com dimmer, cabeceira estofada e closet linear com portas de correr"
34,Casa,Suíte master,20,4Q+3B,Luxo,"Suíte completa: piso de madeira maciça, painel ripado, closet iluminado com espelho, automação de cortinas/iluminação e integração com banheiro premium"
35,Casa,Cozinha,12,2Q+1B,Popular,"Cozinha casa: pintura lavável, revestimento cerâmico, bancada granito, cuba inox simples, torneira funcional e armários básicos"
